Date,portfolio_mv,portfolio_bl
1999-01-05,0.0,0.0
1999-01-06,0.0,0.0
1999-01-07,0.0,0.0
1999-01-08,0.0,0.0
1999-01-11,0.0,0.0
1999-01-12,0.0,0.0
1999-01-13,0.0,0.0
1999-01-14,0.0,0.0
1999-01-15,0.0,0.0
1999-01-19,0.0,0.0
1999-01-20,0.0,0.0
1999-01-21,0.0,0.0
1999-01-22,0.0,0.0
1999-01-25,0.0,0.0
1999-01-26,0.0,0.0
1999-01-27,0.0,0.0
1999-01-28,0.0,0.0
1999-01-29,0.0,0.0
1999-02-01,0.0,0.0
1999-02-02,0.0,0.0
1999-02-03,0.0,0.0
1999-02-04,0.0,0.0
1999-02-05,0.0,0.0
1999-02-08,0.0,0.0
1999-02-09,0.0,0.0
1999-02-10,0.0,0.0
1999-02-11,0.0,0.0
1999-02-12,0.0,0.0
1999-02-16,0.0,0.0
1999-02-17,0.0,0.0
1999-02-18,0.0,0.0
1999-02-19,0.0,0.0
1999-02-22,0.0,0.0
1999-02-23,0.0,0.0
1999-02-24,0.0,0.0
1999-02-25,0.0,0.0
1999-02-26,0.0,0.0
1999-03-01,0.0,0.0
1999-03-02,0.0,0.0
1999-03-03,0.0,0.0
1999-03-04,0.0,0.0
1999-03-05,0.0,0.0
1999-03-08,0.0,0.0
1999-03-09,0.0,0.0
1999-03-10,0.0,0.0
1999-03-11,0.0,0.0
1999-03-12,0.0,0.0
1999-03-15,0.0,0.0
1999-03-16,0.0,0.0
1999-03-17,0.0,0.0
1999-03-18,0.0,0.0
1999-03-19,0.0,0.0
1999-03-22,0.0,0.0
1999-03-23,0.0,0.0
1999-03-24,0.0,0.0
1999-03-25,0.0,0.0
1999-03-26,0.0,0.0
1999-03-29,0.0,0.0
1999-03-30,0.0,0.0
1999-03-31,0.0,0.0
1999-04-01,0.0,0.0
1999-04-05,0.0,0.0
1999-04-06,0.0,0.0
1999-04-07,0.0,0.0
1999-04-08,0.0,0.0
1999-04-09,0.0,0.0
1999-04-12,0.0,0.0
1999-04-13,0.0,0.0
1999-04-14,0.0,0.0
1999-04-15,0.0,0.0
1999-04-16,0.0,0.0
1999-04-19,0.0,0.0
1999-04-20,0.0,0.0
1999-04-21,0.0,0.0
1999-04-22,0.0,0.0
1999-04-23,0.0,0.0
1999-04-26,0.0,0.0
1999-04-27,0.0,0.0
1999-04-28,0.0,0.0
1999-04-29,0.0,0.0
1999-04-30,0.0,0.0
1999-05-03,0.0,0.0
1999-05-04,0.006944012315016215,0.0012377538158103384
1999-05-05,-0.0006926723955220163,-0.0023918648063837714
1999-05-06,-0.005906616329441184,-0.0012365921520883889
1999-05-07,-0.013078430570033899,-0.0050786161304995775
1999-05-10,0.030415047084764037,-0.004762682584386852
1999-05-11,-0.0014094840390355716,0.0025222558695494964
1999-05-12,-0.021394184202610356,-0.01720235208210499
1999-05-13,0.0033245660372127244,0.01285084155750778
1999-05-14,-0.02180920939778889,-0.006590251107604404
1999-05-17,-0.03598240185334043,-0.01893408384836984
1999-05-18,0.030519028083371143,0.004272082868552229
1999-05-19,-0.019902089550237367,0.0035042764032368287
1999-05-20,-0.007589021283401222,0.0027976134094704103
1999-05-21,-0.007283012236103758,-0.0016988160264074482
1999-05-24,-0.0343448089534461,-0.00959771598696435
1999-05-25,-0.0038607511152331155,-0.007840170957260369
1999-05-26,0.009664041515744445,-0.00553448733199524
1999-05-27,-0.01697250096715279,-0.018516273539943902
1999-05-28,0.00034996049199959435,0.00971720829398747
1999-06-01,0.0209122009745831,-0.009209577087186333
1999-06-02,3.2322998053676806e-05,0.004774374937585581
1999-06-03,0.01902506224114613,0.01787010313772886
1999-06-04,0.005874848151927436,0.005973114730759093
1999-06-07,0.019809054147934872,0.0034240528394753767
1999-06-08,0.00010072906078841069,0.0019800463516305915
1999-06-09,0.006512554782163022,0.010178406316401135
1999-06-10,-0.0013355712317795457,-0.004454327060428156
1999-06-11,-0.004426499536675479,-0.0023411676999102768
1999-06-14,-0.00939755451655426,-0.0037959484366541212
1999-06-15,0.006997444731990667,0.002159893984099014
1999-06-16,0.02925030848344602,-0.007059296539055957
1999-06-17,0.018962295545020536,0.008015174675467146
1999-06-18,-0.004884895085212843,0.010210408907850627
1999-06-21,0.03524984246683807,0.006515278771297272
1999-06-22,0.004910354139933471,-0.007649905036379774
1999-06-23,-0.018691316196714276,-0.0062526528493169805
1999-06-24,-0.012959889885254193,0.002837829166538175
1999-06-25,0.010382171350722717,0.007470748013548344
1999-06-28,0.010029335548253106,-0.008195227439993291
1999-06-29,-0.006951288960169854,0.004035972993359786
1999-06-30,0.02883883871762391,0.016528455510923194
1999-07-01,0.0019838481000155313,-0.0025332146701968574
1999-07-02,0.006091852491228778,0.004427198373949584
1999-07-06,-0.005942643376971872,0.005872021394877066
1999-07-07,-0.011750100492027156,-0.008178953134702275
1999-07-08,-0.0024821668162513105,-0.002325917426372886
1999-07-09,-0.004790095585616589,-0.0038899148142652524
1999-07-12,-0.0013234416033811479,-0.000250542342298562
1999-07-13,-0.017799906677409067,-0.009649432462707863
1999-07-14,-0.00015014263258879886,0.0036668460849949703
1999-07-15,0.0057991303781484635,0.01128638453803734
1999-07-16,-0.010967057354116641,-0.0067069350115819635
1999-07-19,-0.0017483731722004643,0.007776490657569862
1999-07-20,-0.009682926215156387,-0.007070338108343308
1999-07-21,-0.005575235345769383,-0.002300270266673423
1999-07-22,-0.02168177379634576,-0.016354869935381006
1999-07-23,-0.020396978442471313,-0.0023490907954259194
1999-07-26,-0.011819087843983687,-0.0025410263634281925
1999-07-27,0.036782227311511415,0.016948168705547006
1999-07-28,0.01619274645402372,-0.00515454481573323
1999-07-29,-0.027131248843100687,-0.016184695898729694
1999-07-30,0.0051216540174268835,0.014093916581207514
1999-08-02,0.006631749102824396,-0.005134649710735394
1999-08-03,-6.779762484660316e-05,0.0055761794879677215
1999-08-04,-0.011215424502779313,-0.0022395457524979788
1999-08-05,-0.007331366272184565,-0.005758280725412939
1999-08-06,-0.021977452397709343,-0.01379134031481383
1999-08-09,0.00038921498571458236,0.011477381561269403
1999-08-10,-0.0071903056452396405,-0.0180097744392804
1999-08-11,0.006912643509524461,0.009552286628582372
1999-08-12,0.01897054930240271,0.008185223661310687
1999-08-13,0.01652495722735791,0.010088132410936519
1999-08-16,0.002232519276944281,0.0019529706652404578
1999-08-17,-0.005276512122992127,0.003458638895071344
1999-08-18,0.006091839592391306,-0.0011607526928267076
1999-08-19,0.002692598854192962,-0.000732184006185496
1999-08-20,0.0273059678002246,0.011880395275016971
1999-08-23,0.015099072179697602,0.007782046105578995
1999-08-24,-0.01477924277849519,-0.0055797593102139545
1999-08-25,-0.007750740297946567,0.011729871906451183
1999-08-26,-0.0007620532211989823,-0.0051688094587024795
1999-08-27,-0.0008506115171462882,0.00019053573649749621
1999-08-30,0.0007940288134576672,-0.0027915401832312595
1999-08-31,-0.02152591452081342,-0.009792337546190775
1999-09-01,0.023565841192948977,0.01853648076190403
1999-09-02,-0.01536794974308029,-0.01211384283486458
1999-09-03,0.019792874988174836,0.009197442810896201
1999-09-07,-0.0031888735214466463,0.0027262089077750556
1999-09-08,-0.004452107777617219,-0.0035100921111620303
1999-09-09,0.015551909018690307,0.009004191245119458
1999-09-10,-0.0012472156037454034,-0.0017314343733777033
1999-09-13,0.0034690256952173847,-0.00827765971071456
1999-09-14,-0.00910871898124177,-0.007199761530476438
1999-09-15,-0.007314401367272362,-0.013199124883375818
1999-09-16,-0.005597357535162066,-0.0019730034929483194
1999-09-17,0.00536080038280701,0.007935874107102269
1999-09-20,0.013786833426744449,0.00031676692932396897
1999-09-21,-0.014141401493551517,-0.010562772894324652
1999-09-22,-0.005311951319469954,-0.0025301294135208372
1999-09-23,-0.002568114835081974,-0.0020272573962706107
1999-09-24,-0.008083964020781263,-0.0056120441590055475
1999-09-27,0.00569417471606884,0.00748934015627584
1999-09-28,0.0006168317583619131,0.0004259306967857136
1999-09-29,-0.0042272445421775865,0.0001967503526457997
1999-09-30,0.011518337752604807,0.00615417225803234
1999-10-01,0.013314206003207754,0.004116243366694387
1999-10-04,0.004263691872073723,0.004256907632902992
1999-10-05,-0.01576649523607853,-0.001601211691493314
1999-10-06,0.014751846457900442,0.005120406783800611
1999-10-07,0.000556959931041511,-0.0007848242416465704
1999-10-08,0.003734112377425028,-0.002331107217218697
1999-10-11,0.004823984299039575,0.0033794743284804056
1999-10-12,-0.0023079533134505023,0.0008690132444821709
1999-10-13,-0.02111425793900437,-0.010793818958679535
1999-10-14,0.018060173195536957,0.001556418505550332
1999-10-15,-0.01872418252128001,-0.016769854320362584
1999-10-18,-0.017264498185161303,-0.009505969016385615
1999-10-19,0.020271618913883425,0.00952984094504148
1999-10-20,0.003663567704822491,0.005940847999022318
1999-10-21,-0.0006423964254685827,-0.00357577016977758
1999-10-22,0.012962668149674991,0.004359274531055952
1999-10-25,0.006036510637889879,0.0002570955888781464
1999-10-26,0.013257448054969305,-0.00034708361070017623
1999-10-27,-0.0041819812504702404,-0.001552129140973397
1999-10-28,0.009590133655233979,0.012066004318540342
1999-10-29,0.015341787619341884,0.00866390814513051
1999-11-01,-0.004682932672843442,7.642440945965085e-05
1999-11-02,0.0028891720026288994,0.004303886861967747
1999-11-03,0.0012254808092354644,0.0014142931670946843
1999-11-04,0.0037698225210578305,-0.0030854992108161165
1999-11-05,0.005003164502726729,0.0025296583507966844
1999-11-08,-0.002257740968676133,-0.0028696526537786895
1999-11-09,0.0005397779692362742,0.0038988560896900345
1999-11-10,0.013373260547386114,0.007308728065215696
1999-11-11,0.0037287610527614113,0.011070721739399249
1999-11-12,-0.0005773350425178103,-0.0025731864901912312
1999-11-15,0.004690819754280394,0.009939845518750344
1999-11-16,0.004404197584784553,0.0007512369320494801
1999-11-17,0.011538029753480679,0.005437671695261496
1999-11-18,0.011722102589294982,0.0061787381385104215
1999-11-19,0.0004011804913461524,-0.002617798270208487
1999-11-22,-0.0013141596837106717,-0.006666416879780138
1999-11-23,-0.008344351413230243,-0.005944486170288247
1999-11-24,-0.0011318302822874789,-0.006589487821407665
1999-11-26,0.02373615902370101,0.013830761985757514
1999-11-29,-0.0034452961200197784,-0.01056039530914652
1999-11-30,-0.017936190116022786,-0.007780559766716577
1999-12-01,0.0011077117792448125,-0.0006746017379067172
1999-12-02,0.011375520800044335,0.014529381291615835
1999-12-03,0.01336914695834984,0.014324175978272896
1999-12-06,0.016482331427680415,0.005195439970807272
1999-12-07,0.007206199501844826,1.0545193435059923e-05
1999-12-08,0.008305236524942833,0.01009542507269009
1999-12-09,-0.0023342601933344235,-0.0034709025290071823
1999-12-10,-0.006908773146705792,-0.006339866625338268
1999-12-13,0.00017973593839571366,0.003416790837771928
1999-12-14,-0.0016694647696462936,-0.009364664994244919
1999-12-15,-0.003334558505960614,0.0013822335113606698
1999-12-16,0.007024586720542865,0.01112512083645919
1999-12-17,0.007126797154349797,0.00874921325617871
1999-12-20,0.0013709503012145894,0.001005750933767314
1999-12-21,-0.005569977073197364,-0.0035372753325892616
1999-12-22,0.015223794204148067,0.008256060285072992
1999-12-23,0.015653598070032113,0.013579922829220051
1999-12-27,0.009812562576419426,0.00994445612617836
1999-12-28,-0.0002310668652611438,-0.007534099824032675
1999-12-29,-0.002661780516858665,-0.0021650490729611853
1999-12-30,0.016472751962447157,0.014546528596449946
1999-12-31,0.006309753653597836,-0.007572287359038258
2000-01-03,0.01000566749208317,0.020161523086145747
2000-01-04,-0.05313496648999282,-0.029115532710050903
2000-01-05,-0.0038742596237735516,0.004342353221820612
2000-01-06,-0.013291994107525669,-0.008275774867995318
2000-01-07,0.026514820410766887,0.027205046188177085
2000-01-10,0.02347672114473437,0.004596094329717936
2000-01-11,-0.006581950169465603,-0.006697423202560613
2000-01-12,-0.007976866578903157,-0.006010415036431519
2000-01-13,0.015215802399428534,0.0036426861497070814
2000-01-14,0.016651787901631656,0.0070607659753164406
2000-01-18,-0.01182335378350188,-0.025129269523711573
2000-01-19,-0.007367200461894289,-0.0030497007859799116
2000-01-20,-0.004720411437338397,-0.006159300121079479
2000-01-21,-0.010652312954920244,-0.009690703060905534
2000-01-24,-0.01357146810115904,-0.010350744466500087
2000-01-25,0.001139212493485472,-0.006291449070780548
2000-01-26,0.014556743276106211,0.004479543609744771
2000-01-27,-0.002519165022719964,-0.003595211603695991
2000-01-28,-0.031364963433204635,-0.029606278615808945
2000-01-31,-0.0006839760261822011,-0.0015303521406569904
2000-02-01,0.014424000248690503,0.00048762656935294766
2000-02-02,0.043858314119129875,0.018184361344298523
2000-02-03,0.016769700473804616,0.008156507679726406
2000-02-04,0.01890377700579015,-0.011479776664304385
2000-02-07,-0.0003728898201042879,-0.0057374011934092145
2000-02-08,0.015931064549927744,0.018199115025084193
2000-02-09,0.013098681013422169,0.008529456686410794
2000-02-10,-0.009996006752928638,-0.00641587641844996
2000-02-11,-0.004236717098528532,-0.017049718298779604
2000-02-14,-0.0034072896877874663,0.006586104880652301
2000-02-15,-0.014482763511698376,-0.0126358427586816
2000-02-16,0.02055233716286485,0.009690401576848423
2000-02-17,0.008650214034804968,0.011803077653647505
2000-02-18,-0.006585462267078502,-0.02657872160076212
2000-02-22,-0.0013496754426331951,0.0006030672087623465
2000-02-23,0.007140270211107734,0.014487168581115362
2000-02-24,-0.00020654915422320372,-0.0218584338228832
2000-02-25,0.005710513207405629,0.0013182651388025227
2000-02-28,-0.003706070598348973,-0.0024123699392738954
2000-02-29,-0.0015189945931504375,0.010002198046529657
2000-03-01,0.01668764709987853,0.0006466842822707115
2000-03-02,0.017251618265430778,0.01629433402887434
2000-03-03,0.008519101280093469,0.004880252679477939
2000-03-06,-0.011566435564528086,-0.019707495345522755
2000-03-07,-0.00029511959750205986,-0.00042514656973060015
2000-03-08,-0.014789338612536937,0.0010350173452441797
2000-03-09,0.004486392360526576,-0.0009916498953300367
2000-03-10,0.005599969814192217,0.0009294860950441266
2000-03-13,-0.02870909737722184,-0.017677237695033623
2000-03-14,0.0004827694029627539,0.017234795031621095
2000-03-15,-0.015956220372130906,-0.007370802506213754
2000-03-16,0.016888566982456117,0.02663924532396032
2000-03-17,0.00617008020514974,-0.011068217554197962
2000-03-20,0.006844786602690192,0.009771093499674343
