Date,portfolio_mv,portfolio_bl
1999-01-05,0.0,0.0
1999-01-06,0.0,0.0
1999-01-07,0.0,0.0
1999-01-08,0.0,0.0
1999-01-11,0.0,0.0
1999-01-12,0.0,0.0
1999-01-13,0.0,0.0
1999-01-14,0.0,0.0
1999-01-15,0.0,0.0
1999-01-19,0.0,0.0
1999-01-20,0.0,0.0
1999-01-21,0.0,0.0
1999-01-22,0.0,0.0
1999-01-25,0.0,0.0
1999-01-26,0.0,0.0
1999-01-27,0.0,0.0
1999-01-28,0.0,0.0
1999-01-29,0.0,0.0
1999-02-01,0.0,0.0
1999-02-02,0.0,0.0
1999-02-03,0.0,0.0
1999-02-04,0.0,0.0
1999-02-05,0.0,0.0
1999-02-08,0.0,0.0
1999-02-09,0.0,0.0
1999-02-10,0.0,0.0
1999-02-11,0.0,0.0
1999-02-12,0.0,0.0
1999-02-16,0.0,0.0
1999-02-17,0.0,0.0
1999-02-18,0.0,0.0
1999-02-19,0.0,0.0
1999-02-22,0.0,0.0
1999-02-23,0.0,0.0
1999-02-24,0.0,0.0
1999-02-25,0.0,0.0
1999-02-26,0.0,0.0
1999-03-01,0.0,0.0
1999-03-02,0.0,0.0
1999-03-03,0.0,0.0
1999-03-04,0.0,0.0
1999-03-05,0.0,0.0
1999-03-08,0.0,0.0
1999-03-09,0.0,0.0
1999-03-10,0.0,0.0
1999-03-11,0.0,0.0
1999-03-12,0.0,0.0
1999-03-15,0.0,0.0
1999-03-16,0.0,0.0
1999-03-17,0.0,0.0
1999-03-18,0.0,0.0
1999-03-19,0.0,0.0
1999-03-22,0.0,0.0
1999-03-23,0.0,0.0
1999-03-24,0.0,0.0
1999-03-25,0.0,0.0
1999-03-26,0.0,0.0
1999-03-29,0.0,0.0
1999-03-30,0.0,0.0
1999-03-31,0.0,0.0
1999-04-01,0.0,0.0
1999-04-05,0.0,0.0
1999-04-06,0.0,0.0
1999-04-07,0.0,0.0
1999-04-08,0.0,0.0
1999-04-09,0.0,0.0
1999-04-12,0.0,0.0
1999-04-13,0.0,0.0
1999-04-14,0.0,0.0
1999-04-15,0.0,0.0
1999-04-16,0.0,0.0
1999-04-19,0.0,0.0
1999-04-20,0.0,0.0
1999-04-21,0.0,0.0
1999-04-22,0.0,0.0
1999-04-23,0.0,0.0
1999-04-26,0.0,0.0
1999-04-27,0.0,0.0
1999-04-28,0.0,0.0
1999-04-29,0.0,0.0
1999-04-30,0.0,0.0
1999-05-03,0.0,0.0
1999-05-04,0.0,0.0
1999-05-05,0.0,0.0
1999-05-06,0.0,0.0
1999-05-07,0.0,0.0
1999-05-10,0.0,0.0
1999-05-11,0.0,0.0
1999-05-12,0.0,0.0
1999-05-13,0.0,0.0
1999-05-14,0.0,0.0
1999-05-17,0.0,0.0
1999-05-18,0.0,0.0
1999-05-19,0.0,0.0
1999-05-20,0.0,0.0
1999-05-21,0.0,0.0
1999-05-24,0.0,0.0
1999-05-25,0.0,0.0
1999-05-26,0.0,0.0
1999-05-27,0.0,0.0
1999-05-28,0.0,0.0
1999-06-01,0.0,0.0
1999-06-02,0.0,0.0
1999-06-03,0.0,0.0
1999-06-04,0.0,0.0
1999-06-07,0.0,0.0
1999-06-08,0.0,0.0
1999-06-09,0.0,0.0
1999-06-10,0.0,0.0
1999-06-11,0.0,0.0
1999-06-14,0.0,0.0
1999-06-15,0.0,0.0
1999-06-16,0.0,0.0
1999-06-17,0.0,0.0
1999-06-18,0.0,0.0
1999-06-21,0.0,0.0
1999-06-22,0.0,0.0
1999-06-23,0.0,0.0
1999-06-24,0.0,0.0
1999-06-25,0.0,0.0
1999-06-28,0.0,0.0
1999-06-29,0.0,0.0
1999-06-30,0.0,0.0
1999-07-01,0.0,0.0
1999-07-02,0.013184818243413329,0.005936830955337445
1999-07-06,-0.0033415185286807185,0.005180717935698137
1999-07-07,-0.0072095257536815525,-0.008324657114219428
1999-07-08,-0.003010906193273344,-0.0017878595223480068
1999-07-09,-0.008983330383333349,-0.004552720243056309
1999-07-12,-0.00988085158010433,-0.00048340701696140736
1999-07-13,-0.01565897762246796,-0.008345061527078614
1999-07-14,0.012952940368286802,0.002458488510555067
1999-07-15,0.0038109777242626383,0.012494307991015217
1999-07-16,-0.007358239406096482,-0.008924463514645065
1999-07-19,0.00594688192043712,0.008789561717787152
1999-07-20,-0.013472017564585884,-0.006618259466106926
1999-07-21,0.0001645191685627355,-0.004270158553771511
1999-07-22,-0.021889099863856364,-0.015233696744721324
1999-07-23,-0.020697371619698687,-0.002311137215521894
1999-07-26,-0.021892932687474387,-0.00256890861563994
1999-07-27,0.030995596714032597,0.01644843080559599
1999-07-28,0.006693101528199769,-0.005157417671183156
1999-07-29,-0.03293706506513284,-0.014242891044533785
1999-07-30,0.004436995766746141,0.013454369672979527
1999-08-02,-9.962230989487598e-05,-0.006774973683638862
1999-08-03,0.0021337869976742465,0.006444142554995613
1999-08-04,-0.0028533170506941066,-0.0034419072429441363
1999-08-05,-0.01652623020349664,-0.0022595944684215153
1999-08-06,-0.025782899253421598,-0.014464474533294651
1999-08-09,0.005158759632078435,0.013038505768097489
1999-08-10,-0.009131249599781779,-0.016807720069841603
1999-08-11,0.00407159460658794,0.007208733522844332
1999-08-12,0.01247510408827478,0.006566926249143311
1999-08-13,0.016527268042262247,0.009206831488392417
1999-08-16,0.003363262415464769,0.000252566870105081
1999-08-17,-0.005799875328479993,0.0038357337132932192
1999-08-18,0.006550102656787357,-0.0016121599195672487
1999-08-19,0.008480812670713798,-0.0007736687341795477
1999-08-20,0.032432147401054275,0.012474910057747837
1999-08-23,0.010967697519014562,0.0068489666714978475
1999-08-24,-0.01230670949573888,-0.0040473786691186085
1999-08-25,-0.002839970159096778,0.009567783781874267
1999-08-26,-0.0022443244620314225,-0.006079792836967364
1999-08-27,-0.008931343580690285,-0.0017707884013137166
1999-08-30,0.006938736944937263,-0.0030149547261671497
1999-08-31,-0.019829363431820783,-0.009585669891114965
1999-09-01,0.01950437720589916,0.020794837370372472
1999-09-02,-0.01481096962945942,-0.011404390908696209
1999-09-03,0.016212624103876944,0.007316722019696765
1999-09-07,-0.011487034172550961,0.003754125513199217
1999-09-08,-0.010397863365677737,-0.003772764120328721
1999-09-09,0.030530679599868053,0.009037870385022824
1999-09-10,-0.0008728009460385004,-0.0038167250202339647
1999-09-13,0.0029653383018160284,-0.01034761510858415
1999-09-14,-0.007502787577880794,-0.006643053894324733
1999-09-15,-0.006268259261754603,-0.012023374895166144
1999-09-16,-0.016811636994536062,-0.0012969854109834461
1999-09-17,0.017363151606735218,0.005710062026308318
1999-09-20,-0.0003987787347643509,0.004081870195254384
1999-09-21,-0.022716845749377244,-0.009921553366044323
1999-09-22,-0.006697010492049953,-0.0036287556750738774
1999-09-23,-0.018863927168374792,-0.0028524411744886213
1999-09-24,-0.007063400338618464,-0.006379945861788659
1999-09-27,0.007977673760710664,0.00834457520244975
1999-09-28,-0.0065379566259848075,-0.0009687683949577538
1999-09-29,-0.0006814879383861458,0.0006349558930863589
1999-09-30,0.0128483812308144,0.006589904975350989
1999-10-01,0.014403657619949382,0.005410180149596908
1999-10-04,0.006497812952510283,0.004326571996459279
1999-10-05,-0.011074712929612523,0.0009646581510774995
1999-10-06,0.015457159357246175,0.004667015631896704
1999-10-07,0.002148103624710267,0.0008330403065449537
1999-10-08,0.004841494118889292,-0.0036285499240056238
1999-10-11,0.00885979047201076,0.0045657945946408745
1999-10-12,-0.004145153941842567,-0.0008287671091029507
1999-10-13,-0.02227703743917986,-0.011299305848449782
1999-10-14,0.019806465169204396,0.0006505385210622198
1999-10-15,-0.02326812686336677,-0.015481359564660513
1999-10-18,-0.021913710611021767,-0.009424297791269059
1999-10-19,0.02320512414135006,0.00962870578040988
1999-10-20,0.002222401766774582,0.005704978700387591
1999-10-21,-0.005424548539595008,-0.0033737162260629706
1999-10-22,0.01675476792031124,0.004594581489127955
1999-10-25,0.007831834655632273,-0.0010087709674597288
1999-10-26,0.008145954686247266,-0.0004067398491490468
1999-10-27,0.000622959277209912,-0.0033652887280114156
1999-10-28,0.008294834241612923,0.01393779580483436
1999-10-29,0.018873865331357764,0.012535261538117503
1999-11-01,-0.008707915370121985,-0.0006220773349445136
1999-11-02,0.004197481439659465,0.004734794514934094
1999-11-03,0.0013935690214511057,0.0013340273386062077
1999-11-04,0.005274814321388616,-0.0036693682015638933
1999-11-05,0.004470657965279063,0.004147644435305293
1999-11-08,-0.0021247792403922025,-0.004456615998303426
1999-11-09,-0.0002230025394367881,0.0060249746545607726
1999-11-10,0.013327366667912358,0.00718130034579017
1999-11-11,0.004003836080842182,0.01006193834729754
1999-11-12,-0.0017314060546537297,-0.0047790593871690195
1999-11-15,0.005859678326087367,0.010088343501286427
1999-11-16,0.0050862565870962335,0.002179947444664941
1999-11-17,0.012961183118521062,0.004899025930170558
1999-11-18,0.01266703141319432,0.005199343962380047
1999-11-19,-0.0005276002490275191,-0.0033396424958643104
1999-11-22,0.0006601883844081928,-0.008276949414734405
1999-11-23,-0.007814506776319584,-0.004973985750055613
1999-11-24,-0.002236542936907218,-0.007132214291510553
1999-11-26,0.023203998346574137,0.01207157895037011
1999-11-29,-0.003009843868889862,-0.010544884273620318
1999-11-30,-0.018223049005357383,-0.007185681016687808
1999-12-01,-0.000363406104098063,-0.0003217072050269939
1999-12-02,0.01338428269605042,0.014383204421134202
1999-12-03,0.017585430272090207,0.014854297145219773
1999-12-06,0.0118596778326965,0.005089365491103618
1999-12-07,0.0069803682132183785,4.2320223144183525e-05
1999-12-08,0.010474042112303057,0.009614601234818504
1999-12-09,-0.004622658028198192,-0.0037041714210286646
1999-12-10,-0.007615436204023568,-0.005629021243416717
1999-12-13,-0.0009107546928936313,0.003028961994975145
1999-12-14,-0.00030354428987668954,-0.009540526311780359
1999-12-15,-0.006251872312248024,0.0012433054525254677
1999-12-16,0.008738661368135581,0.010883483631569137
1999-12-17,0.005419158233398281,0.009022428301430326
1999-12-20,0.0017763233638780145,0.0008302487956692409
1999-12-21,-0.0087831938157083,-0.003357991526132374
1999-12-22,0.02509539761387885,0.00821664507382234
1999-12-23,0.013909448327727413,0.012908477555614058
1999-12-27,0.008574489699928885,0.010121357829059164
1999-12-28,0.006687941703429358,-0.007435753142328633
1999-12-29,-0.0010276275064509672,-0.0023035923302930235
1999-12-30,0.013299573299786068,0.014700900255092618
1999-12-31,0.00423499899983408,-0.007808098481296838
2000-01-03,0.009759181374250539,0.020332605279405357
2000-01-04,-0.04605231833229819,-0.030141617595961425
2000-01-05,-0.015216012796058154,0.0040108978458174216
2000-01-06,-0.015739547010916333,-0.008713080708617664
2000-01-07,0.02102851316728755,0.02924651415339595
2000-01-10,0.019653774062440375,0.0034709222204526405
2000-01-11,0.00026093619473551284,-0.007332223351141807
2000-01-12,-0.009297044062476499,-0.005808790190090351
2000-01-13,0.008411666584511552,0.0036314888540952563
2000-01-14,0.018487597201985555,0.006442799779501112
2000-01-18,-0.015158363563751966,-0.026238466436455467
2000-01-19,-0.0031744286727931996,-0.0022367882328997216
2000-01-20,0.0052585959020579045,-0.006402475954145155
2000-01-21,-0.012233678666350873,-0.00907281251303696
2000-01-24,-0.006238126984918298,-0.009210107921499289
2000-01-25,0.0011906682487269101,-0.006772761274210827
2000-01-26,0.015760388318807394,0.0052126877259656215
2000-01-27,-0.0063280228604428584,-0.0042221382494450335
2000-01-28,-0.03256542146012919,-0.028860468540264875
2000-01-31,0.0032994012347585216,-0.0030246214396829254
2000-02-01,0.021350381169436786,0.0007771743996712523
2000-02-02,0.03692431759021868,0.018557683905348142
2000-02-03,0.015719400871328393,0.009633589363942261
2000-02-04,0.018625995325953527,-0.01138740280012039
2000-02-07,-0.00788624847257041,-0.004721870803428801
2000-02-08,0.01334119300349823,0.017385774072057
2000-02-09,0.012127223932746367,0.007799976928351224
2000-02-10,-0.010210878967141589,-0.006470307222281211
2000-02-11,-0.003813586918874015,-0.016526544894029212
2000-02-14,-0.0004216555127331794,0.005850593057614814
2000-02-15,-0.016881131917179524,-0.012682723026268909
2000-02-16,0.016589020934942755,0.010762735344741235
2000-02-17,0.01077749241038568,0.011073094283013564
2000-02-18,-0.008125614219940631,-0.02463410048841771
2000-02-22,-0.0025102740915597254,0.0014602132645477
2000-02-23,0.0028852178026649205,0.013695353035033987
2000-02-24,0.0003690210362273202,-0.021048220765778163
2000-02-25,0.005787253653867266,3.093281102323015e-05
2000-02-28,-0.0007454011980464687,-0.0026028528286546524
2000-02-29,0.0021480709660244668,0.00909478719949671
2000-03-01,0.0167237659912411,0.0013228061818952599
2000-03-02,0.0273417972147164,0.015706243275011255
2000-03-03,0.01267947095536542,0.0031675301402786385
2000-03-06,-0.01566202233713222,-0.02018321514934292
2000-03-07,0.00509323824658847,-0.0009294880525255069
2000-03-08,-0.013101868022576858,0.0024809013516807594
2000-03-09,0.0035822922762507948,-0.0003752266778873465
2000-03-10,0.000787044304017354,0.0010435866456256285
2000-03-13,-0.031388628919907784,-0.01921737422732544
2000-03-14,0.0006572839335577299,0.01780063486341881
2000-03-15,-0.008282078569302112,-0.004984135398091265
2000-03-16,0.01419218186952092,0.028674916443315875
2000-03-17,0.008183386324457097,-0.012427641132913178
2000-03-20,0.011181046574437116,0.008940649432362183
2000-03-21,0.0012176472870141623,0.0034097217354092223
2000-03-22,0.0021776895775292536,-0.003100110080638963
2000-03-23,0.006478363557842686,0.014606491234740672
2000-03-24,-0.0011132535079020453,-0.006135558427039909
2000-03-27,-0.012858409199903421,0.0005821065936598522
2000-03-28,0.00011332264048795164,0.01065662629959041
2000-03-29,-0.013693475051771565,-0.017467119513100145
2000-03-30,-0.030971690123946877,-0.006927546359026658
2000-03-31,0.014626124400781527,-0.009701056668288981
2000-04-03,-0.021478706532203667,0.01480628017542296
2000-04-04,-0.011832538617250705,-0.0028304259455632984
2000-04-05,-0.004368876401725387,-0.018697581493294993
2000-04-06,0.028566839330726013,0.0248126306562357
2000-04-07,0.0012698370323007042,-0.0031120046488794404
2000-04-10,0.00951224690476515,-0.0006586169037032858
2000-04-11,-0.02773289873541865,-0.007583659149144496
2000-04-12,-0.017489011162534995,-0.01176432652701565
2000-04-13,-0.017971697351658062,0.0003652163936406911
2000-04-14,-0.05099635352881469,-0.03684306745662053
